CIS,Nom,Nom_Substance
63151492,"ACEBUTOLOL ZYDUS 400 mg, comprimé pelliculé",CHLORHYDRATE D'ACÉBUTOLOL
64130871,"ACECLOFENAC BIOGARAN 100 mg, comprimé pelliculé",ACÉCLOFÉNAC
64937530,"ACECLOFENAC EG LABO 100 mg, comprimé pelliculé",ACÉCLOFÉNAC
63092688,"ACECLOFENAC VIATRIS 100 mg, comprimé pelliculé",ACÉCLOFÉNAC
67238724,"ACETANILIDUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH",ACETANILIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES
65900339,"ACETATE DE CYPROTERONE ARROW 100 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE
67552319,"ACETATE DE CYPROTERONE ARROW 50 mg, comprimé sécable",ACÉTATE DE CYPROTÉRONE
69243168,"ACETATE DE TERLIPRESSINE EVER PHARMA 0,2 mg/ml, solution injectable",ACÉTATE DE TERLIPRESSINE
69773711,"ACETICUM ACIDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACETICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES
68976484,"ACETICUM ACIDUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACETICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES
66767379,"ACETONUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH",ACETONUM POUR PRÉPARATIONS HOMÉOPATHIQUES
61406745,"ACETYLCYSTEINE ALPEX 600 mg ADULTES, granulés pour solution buvable",ACÉTYLCYSTÉINE
69148542,"ACETYLCYSTEINE ARROW 200 mg, comprimé effervescent",ACÉTYLCYSTÉINE
69205527,"ACETYLCYSTEINE BGR CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE
68043798,"ACETYLCYSTEINE EG 200 mg, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE
69896678,"ACETYLCYSTEINE EG LABO CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE
67657188,"ACETYLCYSTEINE TEVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE
65483582,"ACETYLCYSTEINE VIATRIS CONSEIL 200 mg, poudre pour solution buvable en sachet-dose",ACÉTYLCYSTÉINE
66069082,"ACETYLCYSTEINE ZENTIVA CONSEIL 200 mg SANS SUCRE, poudre pour solution buvable en sachet",ACÉTYLCYSTÉINE
69516211,"ACICLOVIR ACCORD 25 mg/mL, solution à diluer pour perfusion",ACICLOVIR SODIQUE
68401067,"ACICLOVIR AGEPHA 30 mg/g, pommade ophtalmique",ACICLOVIR
61683272,"ACICLOVIR ALMUS 200 mg, comprimé",ACICLOVIR
62022480,"ACICLOVIR ALMUS 5 %, crème",ACICLOVIR
67363642,"ACICLOVIR ARROW 5 %, crème",ACICLOVIR
60111197,"ACICLOVIR ARROW 800 mg, comprimé",ACICLOVIR
64858307,"ACICLOVIR ARROW CONSEIL 5 %, crème",ACICLOVIR
63299690,"ACICLOVIR ARROW GENERIQUES 200 mg, comprimé",ACICLOVIR
62485208,"ACICLOVIR BIOGARAN 200 mg, comprimé",ACICLOVIR
68303445,"ACICLOVIR BIOGARAN 5 %, crème",ACICLOVIR
62970791,"ACICLOVIR BIOGARAN 800 mg, comprimé",ACICLOVIR
68102563,"ACICLOVIR BIOGARAN CONSEIL 5 %, crème",ACICLOVIR
69175190,"ACICLOVIR CRISTERS 200 mg, comprimé",ACICLOVIR
67344332,"ACICLOVIR CRISTERS 5 %, crème",ACICLOVIR
61938584,"ACICLOVIR CRISTERS CONSEIL 5 %, crème",ACICLOVIR
60418673,"ACICLOVIR EG 200 mg, comprimé",ACICLOVIR
62891447,"ACICLOVIR EG 5 POUR CENT, crème",ACICLOVIR
64776881,"ACICLOVIR EG 800 mg, comprimé",ACICLOVIR
61754342,"ACICLOVIR HIKMA 250 mg, poudre pour solution pour perfusion",ACICLOVIR
69116587,"ACICLOVIR HIKMA 500 mg, poudre pour solution pour perfusion",ACICLOVIR
60799637,"ACICLOVIR SANDOZ CONSEIL 5 %, crème",ACICLOVIR
68560639,"ACICLOVIR TEVA 200 mg, comprimé",ACICLOVIR
66086740,"ACICLOVIR TEVA 800 mg, comprimé",ACICLOVIR
68474955,"ACICLOVIR TEVA SANTE 5 %, crème",ACICLOVIR
67720806,"ACICLOVIR VIATRIS 200 mg, comprimé",ACICLOVIR
69258501,"ACICLOVIR VIATRIS 250 mg, poudre pour solution injectable (IV)",ACICLOVIR
60126377,"ACICLOVIR VIATRIS 5 %, crème",ACICLOVIR
60890745,"ACICLOVIR VIATRIS 500 mg, poudre pour solution injectable (IV)",ACICLOVIR
67260521,"ACICLOVIR VIATRIS 800 mg, comprimé",ACICLOVIR
69540696,"ACICLOVIR VIATRIS CONSEIL 5 %, crème",ACICLOVIR
64855318,"ACICLOVIR ZENTIVA 200 mg, comprimé",ACICLOVIR
64941728,"ACICLOVIR ZENTIVA 5 %, crème",ACICLOVIR
69180611,"ACICLOVIR ZYDUS 200 mg, comprimé",ACICLOVIR
66005293,"ACICLOVIR ZYDUS 5 %, crème",ACICLOVIR
66313736,"ACIDE ACETYLSALICYLIQUE BIOGARAN 100 mg, comprimé gastro-résistant",ACIDE ACÉTYLSALICYLIQUE
61143618,"ACIDE ACETYLSALICYLIQUE BIOGARAN 75 mg, comprimé gastro-résistant",ACIDE ACÉTYLSALICYLIQUE
68300762,"ACIDE ACETYLSALICYLIQUE PANPHARMA 1 g, poudre et solvant pour solution injectable",DL-LYSINE (ACÉTYLSALICYLATE DE)
68852682,"ACIDE ACETYLSALICYLIQUE PANPHARMA 500 mg, poudre et solvant pour solution injectable",DL-LYSINE (ACÉTYLSALICYLATE DE)
62018101,"ACIDE ACETYLSALICYLIQUE PANPHARMA 500 mg, poudre pour solution injectable",DL-LYSINE (ACÉTYLSALICYLATE DE)
68881730,"ACIDE ACETYLSALICYLIQUE VIATRIS 100 mg, comprimé gastro-résistant",ACIDE ACÉTYLSALICYLIQUE
60365142,"ACIDE ALENDRONIQUE ARROW LAB 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
63281774,"ACIDE ALENDRONIQUE BIOGARAN 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
67464926,"ACIDE ALENDRONIQUE CRISTERS 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
68229767,"ACIDE ALENDRONIQUE EG 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
68659822,"ACIDE ALENDRONIQUE TEVA SANTE 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
63174719,"ACIDE ALENDRONIQUE VIATRIS 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
63525488,"ACIDE ALENDRONIQUE ZENTIVA 70 mg, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
64272874,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/2800 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
64272874,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/2800 UI, comprimé","CHOLÉCALCIFÉROL (CONCENTRAT DE), FORME PULVÉRULENTE"
63001941,"ACIDE ALENDRONIQUE/CHOLECALCIFEROL (VITAMINE D3) CRISTERS 70 mg/5600 UI, comprimé",ALENDRONATE MONOSODIQUE TRIHYDRATÉ
